Serial number,Located in box#,Label on tube,Replicate,Potato type,Potato Flesh Color,Processing type,Volume of sample (ul),Mass Spec File Name,Plate Position,Row,Column
45,1,MPP3,3,Purple Majesty,Purple,Microwaved,200,C18p_MPP3_5ul_Rerun_BA6_01_7676.mzXML,Blue,A,6
46,1,RPB1,1,All Blue,Purple,Raw,200,C18p_RPB1_5ul_BA7_01_7556.mzXML,Blue,A,7
47,1,RPB2,2,All Blue,Purple,Raw,200,C18p_RPB2_5ul_BA8_01_7557.mzXML,Blue,A,8
48,1,RPB3,3,All Blue,Purple,Raw,200,C18p_RPB3_5ul_BB1_01_7558.mzXML,Blue,B,1
49,1,BPB1,1,All Blue,Purple,Baked,200,C18p_BPB1_5ul_BB2_01_7560.mzXML,Blue,B,2
50,1,BPB2,2,All Blue,Purple,Baked,200,C18p_BPB2_5ul_BB3_01_7561.mzXML,Blue,B,3
51,1,BPB3,3,All Blue,Purple,Baked,200,C18p_BPB3_5ul_BB4_01_7562.mzXML,Blue,B,4
52,1,MPB1,1,All Blue,Purple,Microwaved,200,C18p_MPB1_5ul_BB5_01_7564.mzXML,Blue,B,5
53,1,MPB2,2,All Blue,Purple,Microwaved,200,C18p_MPB2_5ul_BB6_01_7565.mzXML,Blue,B,6
54,1,MPB3,3,All Blue,Purple,Microwaved,200,C18p_MPB3_5ul_BB7_01_7566.mzXML,Blue,B,7
55,2,SWA1,1,Atlantic,White,Steamed,200,C18p_SWA1_5ul_RerunSet_BC1_01_7665.mzXML,Blue,C,1
56,2,SWA2,2,Atlantic,White,Steamed,200,C18p_SWA2_5ul_RerunSet_BC2_01_7666.mzXML,Blue,C,2
57,2,SWA3,3,Atlantic,White,Steamed,200,C18p_SWA3_5ul_RerunSet_BC3_01_7667.mzXML,Blue,C,3
58,2,FWA1,1,Atlantic,White,French Fries,200,C18p_FWA1_5ul_BC4_01_7573.mzXML,Blue,C,4
59,2,FWA2,2,Atlantic,White,French Fries,200,C18p_FWA2_5ul_BC5_01_7574.mzXML,Blue,C,5
60,2,FWA3,3,Atlantic,White,French Fries,200,C18p_FWA3_5ul_BC6_01_7575.mzXML,Blue,C,6
61,2,CWA1,1,Atlantic,White,Chips,200,C18p_CWA1_5ul_Rerun_BC7_01_7679.mzXML,Blue,C,7
62,2,CWA2,2,Atlantic,White,Chips,200,C18p_CWA2_5ul_Rerun_BC8_01_7680.mzXML,Blue,C,8
63,2,CWA3,3,Atlantic,White,Chips,200,C18p_CWA3_5ul_Rerun_BD1_01_7681.mzXML,Blue,D,1
64,2,SWB1,1,Russet Burbank,White,Steamed,200,C18p_SWB1_5ul_BD2_01_7582.mzXML,Blue,D,2
65,2,SWB2,2,Russet Burbank,White,Steamed,200,C18p_SWB2_5ul_BD3_01_7583.mzXML,Blue,D,3
66,2,SWB3,3,Russet Burbank,White,Steamed,200,C18p_SWB3_5ul_BD4_01_7584.mzXML,Blue,D,4
67,2,FWB1,1,Russet Burbank,White,French Fries,200,C18p_FWB1_5ul_BD5_01_7586.mzXML,Blue,D,5
68,2,FWB2,2,Russet Burbank,White,French Fries,200,C18p_FWB2_5ul_BD6_01_7587.mzXML,Blue,D,6
69,2,FWB3,3,Russet Burbank,White,French Fries,200,C18p_FWB3_5ul_BD7_01_7588.mzXML,Blue,D,7
70,2,CWB1,1,Russet Burbank,White,Chips,200,C18p_CWB1_5ul_BD8_01_7590.mzXML,Blue,D,8
71,2,CWB2,2,Russet Burbank,White,Chips,200,C18p_CWB2_5ul_BE1_01_7591.mzXML,Blue,D,1
72,2,CWB3,3,Russet Burbank,White,Chips,200,C18p_CWB3_5ul_BE2_01_7592.mzXML,Blue,E,2
73,2,SRM1,1,Mountain Rose,Red,Steamed,200,C18p_SRM1_5ul_BE3_01_7598.mzXML,Blue,E,3
74,2,SRM2,2,Mountain Rose,Red,Steamed,200,C18p_SRM2_5ul_BE4_01_7599.mzXML,Blue,E,4
75,2,SRM3,3,Mountain Rose,Red,Steamed,200,C18p_SRM3_5ul_BE5_01_7600.mzXML,Blue,E,5
